SeccionCensal;F-of-M
4602101016;14,67Ê%
3003005037;14,68Ê%
3412005011;14,68Ê%
5016301002;14,68Ê%
0105101002;14,69Ê%
3901601005;14,69Ê%
1502101003;14,69Ê%
2811302014;14,69Ê%
4807804003;14,70Ê%
1102007011;14,70Ê%
0407901009;14,70Ê%
2801501007;14,70Ê%
1501701008;14,71Ê%
2906708028;14,71Ê%
0704601010;14,71Ê%
1103106005;14,71Ê%
0407901018;14,71Ê%
1101504007;14,72Ê%
2907001027;14,72Ê%
4625004018;14,72Ê%
4100301002;14,73Ê%
4610201020;14,73Ê%
0407901010;14,73Ê%
3002701022;14,73Ê%
0801906056;14,73Ê%
3003004063;14,74Ê%
4702701001;14,75Ê%
0407902006;14,75Ê%
3501401009;14,75Ê%
4608201001;14,75Ê%
2807908139;14,75Ê%
2807918046;14,75Ê%
0407902023;14,75Ê%
2090301001;14,75Ê%
2103501003;14,76Ê%
4516806003;14,76Ê%
0490201038;14,77Ê%
0310403001;14,78Ê%
2501101002;14,78Ê%
3002401016;14,78Ê%
3605704024;14,79Ê%
2902501002;14,79Ê%
1505401003;14,79Ê%
4316601001;14,79Ê%
0304902005;14,80Ê%
3002101001;14,81Ê%
2807501003;14,82Ê%
0407901008;14,82Ê%
0490201050;14,82Ê%
3901901001;14,83Ê%
1102006029;14,84Ê%
0501906003;14,84Ê%
4015501002;14,84Ê%
1100402019;14,85Ê%
2801304005;14,85Ê%
0931501001;14,86Ê%
1927401001;14,86Ê%
1003706004;14,86Ê%
0407901012;14,87Ê%
2903801004;14,87Ê%
3501604062;14,87Ê%
2816102008;14,88Ê%
3801701010;14,88Ê%
4504701001;14,88Ê%
4102102006;14,88Ê%
0309002001;14,88Ê%
0811304015;14,89Ê%
3900801006;14,89Ê%
3003006005;14,90Ê%
3421701001;14,90Ê%
0200304011;14,90Ê%
4104001005;14,91Ê%
1715502007;14,91Ê%
3101601005;14,92Ê%
4602101004;14,92Ê%
3004301027;14,92Ê%
3501702003;14,92Ê%
4620501001;14,92Ê%
1100603001;14,93Ê%
2807920119;14,93Ê%
2807918058;14,93Ê%
3002701040;14,93Ê%
1303402008;14,94Ê%
0309201002;14,94Ê%
3902002003;14,94Ê%
4601902006;14,95Ê%
3003006038;14,95Ê%
2813701001;14,96Ê%
3736201001;14,96Ê%
4502301002;14,97Ê%
1200903004;14,97Ê%
0490201011;14,97Ê%
0200304012;14,98Ê%
4309501002;14,98Ê%
0702604014;14,98Ê%
2806502013;14,99Ê%
0818001012;14,99Ê%
4615903008;14,99Ê%
0604403003;15,00Ê%
4504701002;15,01Ê%
4802901005;15,01Ê%
4109107046;15,01Ê%
1500203012;15,01Ê%
4917801001;15,01Ê%
2909402009;15,01Ê%
0801906047;15,03Ê%
0312202006;15,04Ê%
2807901029;15,04Ê%
2807918047;15,04Ê%
3901801003;15,04Ê%
4625001019;15,04Ê%
1714201002;15,05Ê%
2501101003;15,05Ê%
0401306019;15,05Ê%
3802001011;15,05Ê%
3001801008;15,05Ê%
0702602001;15,05Ê%
2807901048;15,05Ê%
3303201015;15,05Ê%
4100404019;15,06Ê%
1402109036;15,06Ê%
4104901005;15,06Ê%
0801509037;15,06Ê%
2813401047;15,06Ê%
1103303003;15,07Ê%
2418901005;15,07Ê%
0402401001;15,07Ê%
4101701007;15,07Ê%
1505404013;15,07Ê%
4508102002;15,07Ê%
0311101004;15,08Ê%
1890501008;15,08Ê%
1721501002;15,09Ê%
2807920068;15,09Ê%
3004104003;15,09Ê%
4314807002;15,09Ê%
4718610056;15,09Ê%
0200902003;15,10Ê%
0808601003;15,10Ê%
0410201004;15,11Ê%
1503007036;15,11Ê%
1306401001;15,11Ê%
4718604040;15,11Ê%
0406601010;15,11Ê%
4625010054;15,11Ê%
