SeccionCensal;longitud;latitud
0301407005;-0.508122;38.345517
0301407006;-0.508428;38.347625
0301407007;-0.509648;38.346947
0301407008;-0.510073;38.345437
0301407009;-0.508117;38.343801
0301407010;-0.511074;38.343568
0301407011;-0.51298;38.341852
0301407012;-0.513787;38.344157
0301407013;-0.511305;38.346047
0301407014;-0.51261;38.347583
0301407016;-0.51485;38.348296
0301407017;-0.529181;38.355582
0301407018;-0.51751;38.342524
0301407019;-0.508171;38.342484
0301407020;-0.51536;38.34065
0301407022;-0.50582;38.34632
0301407024;-0.513987;38.345775
0301407025;-0.501499;38.344423
0301407026;-0.510736;38.348171
0301407027;-0.510911;38.341769
0301408001;-0.49542;38.339535
0301408002;-0.495227;38.342556
0301408003;-0.496655;38.341983
0301408004;-0.498239;38.341915
0301408005;-0.498065;38.339293
0301408006;-0.500232;38.339079
0301408007;-0.500132;38.341827
0301408008;-0.502156;38.340005
0301408009;-0.505018;38.341023
0301408010;-0.502892;38.337048
0301408011;-0.508417;38.332016
0301408012;-0.514249;38.330901
0301408013;-0.512917;38.328275
0301408014;-0.521197;38.293905
0301408015;-0.577194;38.332807
0301408016;-0.572562;38.37607
